# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_V_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Vpol_ND_OFF.csv, spectrum analyser output from same input, with ~413MHz corrected manually.
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
219958964.33805567,-41.96254075,21.08684449
220377137.27405962,-41.94827261,21.10522634
220795310.21006349,-41.95324596,21.10436670
221213483.14606738,-41.94756865,21.11415772
221631656.08207130,-41.94326946,21.12257062
222049829.01807526,-41.94513000,21.12482379
222468001.95407912,-41.93792778,21.13613971
222886174.89008301,-41.94953081,21.12865039
223304347.82608694,-41.94273848,21.13955643
223722520.76209089,-41.94542022,21.14081998
224140693.69809476,-41.94633658,21.14184220
224558866.63409865,-41.95334366,21.13677370
224977039.57010257,-41.95549466,21.13656129
225395212.50610653,-41.95376460,21.14022993
225813385.44211039,-41.95315900,21.14277411
226231558.37811428,-41.96751433,21.13035736
226649731.31411821,-41.97035639,21.12945388
227067904.25012216,-41.97241920,21.12932966
227486077.18612602,-41.97596909,21.12771836
227904250.12212992,-41.97182744,21.13379859
228322423.05813384,-41.98225210,21.12531251
228740595.99413779,-41.99330922,21.11619397
229158768.93014166,-42.00294642,21.10849536
229576941.86614555,-42.00495115,21.10842921
229995114.80214947,-42.01137109,21.10394785
230413287.73815340,-42.01679425,21.10046328
230831460.67415729,-42.03543197,21.08376415
231249633.61016119,-42.03083013,21.09030457
231667806.54616511,-42.04908866,21.07398462
232085979.48216903,-42.05004970,21.07496216
232504152.41817293,-42.05848324,21.06846720
232922325.35417682,-42.07010827,21.05878076
233340498.29018074,-42.07754854,21.05327907
233758671.22618467,-42.07371179,21.05905440
234176844.16218856,-42.09307103,21.04163375
234595017.09819245,-42.09776867,21.03887469
235013190.03419638,-42.11443773,21.02030037
235431362.97020030,-42.12900416,20.99885061
235849535.90620419,-42.14508461,20.97588682
236267708.84220809,-42.14712863,20.96695946
236685881.77821201,-42.16235942,20.94484533
237104054.71421593,-42.17420886,20.92611256
237522227.65021983,-42.18314164,20.91029644
237940400.58622372,-42.18990849,20.89664624
238358573.52222764,-42.20177199,20.87789941
238776746.45823157,-42.21882066,20.85396741
239194919.39423546,-42.23764926,20.82825547
239613092.33023936,-42.26191499,20.79710640
240031265.26624328,-42.25584097,20.79629708
240449438.20224720,-42.26765345,20.77760126
240867611.13825110,-42.29362543,20.74474594
241285784.07425499,-42.30766158,20.72382646
241703957.01025891,-42.31889587,20.70570883
242122129.94626284,-42.33326371,20.68445765
242540302.88226673,-42.34506502,20.66577300
242958475.81827062,-42.36453707,20.63941761
243376648.75427455,-42.39111854,20.60595280
243794821.69027847,-42.40249560,20.58769240
244212994.62628236,-42.41815973,20.56514494
244631167.56228623,-42.42922752,20.54719381
245049340.49829018,-42.44473725,20.52480074
245467513.43429410,-42.46581987,20.49683478
245885686.37029800,-42.49485289,20.46091843
246303859.30630186,-42.49703691,20.46510455
246722032.24230582,-42.51993955,20.45201066
247140205.17830974,-42.53978881,20.44197015
247558378.11431363,-42.56114608,20.43042163
